delivery_id,order_id,rider_id,delivery_status,delivery_time
1,16253,14,Delivered,04:06:00
2,14685,7,Delivered,12:43:00
3,11732,24,Delivered,00:05:00
4,14743,27,Delivered,01:12:00
5,14522,30,Failed,08:02:00
6,16341,27,Delivered,07:34:00
7,10577,15,Delivered,11:03:00
8,15203,26,Delivered,11:25:00
9,16364,1,Failed,13:18:00
10,10440,4,Delivered,13:14:00
11,12751,29,Delivered,12:38:00
12,17488,1,Delivered,08:41:00
13,15273,22,Delivered,01:43:00
14,15654,11,Delivered,22:05:00
15,14000,10,Delivered,10:30:00
16,16034,17,Delivered,10:25:00
17,10583,26,Delivered,05:30:00
18,19931,21,Delivered,14:30:00
19,17052,13,Delivered,01:29:00
20,18159,9,Delivered,08:11:00
21,19897,11,Failed,12:08:00
22,12250,11,Delivered,11:27:00
23,14641,6,In Transit,00:43:00
24,19486,1,Delivered,02:24:00
25,14948,6,In Transit,22:28:00
26,19921,13,Delivered,06:53:00
27,11964,22,Delivered,12:50:00
28,18244,31,Delivered,01:39:00
29,16591,22,Delivered,23:18:00
30,18848,27,Delivered,08:36:00
31,10322,14,Delivered,05:46:00
32,12679,5,Delivered,20:30:00
33,14626,32,Delivered,23:55:00
34,14950,34,Delivered,01:54:00
35,18329,7,Delivered,14:59:00
36,13338,10,Delivered,01:33:00
37,15590,17,Delivered,12:12:00
38,10252,30,In Transit,19:45:00
39,13974,21,Delivered,01:21:00
40,16631,13,Delivered,11:08:00
41,15548,1,In Transit,10:50:00
42,10036,1,Delivered,06:31:00
43,18363,33,Delivered,19:48:00
44,11514,25,In Transit,14:38:00
45,19318,26,Delivered,10:50:00
46,10040,13,Delivered,09:09:00
47,14820,28,Failed,18:33:00
48,13466,33,In Transit,10:57:00
49,11761,30,Delivered,06:07:00
50,12305,8,Delivered,05:00:00
51,13724,1,Delivered,21:49:00
52,18285,12,Delivered,01:40:00
53,14994,5,Delivered,17:14:00
54,18128,24,Delivered,03:47:00
55,13033,6,In Transit,22:27:00
56,17939,25,In Transit,15:58:00
57,13040,1,Delivered,05:50:00
58,19656,25,Delivered,06:24:00
59,12546,1,Delivered,23:17:00
60,12593,32,Delivered,13:59:00
61,11189,3,Delivered,11:41:00
62,17967,19,Delivered,04:26:00
63,16078,29,Delivered,20:57:00
64,10108,2,In Transit,01:58:00
65,11316,9,Delivered,22:14:00
66,18188,17,Delivered,00:03:00
67,12754,17,Delivered,21:09:00
68,19754,12,Delivered,03:20:00
69,16232,20,In Transit,19:39:00
70,12877,3,Delivered,03:51:00
71,15324,4,Delivered,14:39:00
72,10800,17,Delivered,07:38:00
73,13571,15,Delivered,08:55:00
74,12895,33,Failed,00:07:00
75,12928,16,Delivered,02:20:00
76,18179,11,Delivered,09:48:00
77,10972,20,Delivered,04:49:00
78,16688,24,Delivered,04:04:00
79,18576,16,Delivered,09:37:00
80,12021,30,Delivered,15:39:00
81,19055,34,Delivered,23:35:00
82,10953,1,In Transit,04:02:00
83,15360,24,Delivered,00:04:00
84,13858,24,Delivered,01:32:00
85,15862,9,In Transit,10:58:00
86,13146,22,Delivered,19:43:00
87,13306,12,Delivered,12:02:00
88,13007,17,Delivered,02:09:00
89,19002,25,Delivered,08:03:00
90,17771,28,Delivered,18:58:00
91,17439,15,Delivered,18:42:00
92,17943,30,Delivered,14:05:00
93,19239,27,Delivered,04:04:00
94,11057,22,Delivered,01:33:00
95,13155,10,Delivered,07:29:00
96,13788,31,Delivered,10:12:00
97,19190,27,Delivered,04:13:00
98,17826,12,Delivered,22:16:00
99,17540,31,Delivered,09:11:00
100,17232,32,Delivered,20:37:00
101,10765,32,Delivered,15:57:00
102,15020,21,In Transit,03:18:00
103,14904,10,Delivered,14:06:00
104,18094,16,Delivered,16:58:00
105,16844,7,Delivered,04:25:00
106,12166,4,Delivered,11:47:00
107,11863,27,Delivered,00:53:00
108,17851,25,In Transit,11:08:00
109,19124,31,Failed,11:36:00
110,12341,11,Delivered,19:28:00
111,15528,20,Delivered,18:22:00
112,16744,17,Delivered,08:26:00
113,14004,11,Delivered,00:50:00
114,11124,30,Delivered,04:57:00
115,18710,22,In Transit,20:57:00
116,14050,27,Failed,18:47:00
117,17641,4,In Transit,17:29:00
118,10766,16,Delivered,06:51:00
119,12345,16,Delivered,22:32:00
120,14072,21,Delivered,08:36:00
121,17217,26,Delivered,12:26:00
122,14217,19,Delivered,00:26:00
123,17953,17,Delivered,05:56:00
124,15971,26,Delivered,17:13:00
125,13351,22,Delivered,10:39:00
126,14696,28,Delivered,20:02:00
127,13400,1,In Transit,17:53:00
128,14082,2,Delivered,04:04:00
129,19150,17,Delivered,11:38:00
130,11225,21,Delivered,09:22:00
131,16293,9,Delivered,01:49:00
132,13123,13,Delivered,01:47:00
133,10511,11,Delivered,13:02:00
134,15795,16,Delivered,18:00:00
135,18182,16,Delivered,01:05:00
136,19418,2,In Transit,17:34:00
137,10097,8,In Transit,10:03:00
138,16682,13,Delivered,20:57:00
139,11513,17,Delivered,12:22:00
140,18792,24,In Transit,15:37:00
141,10120,3,Delivered,22:13:00
142,17792,30,Delivered,13:51:00
143,16518,13,In Transit,18:08:00
144,10034,19,Delivered,00:09:00
145,17888,7,In Transit,23:48:00
146,16831,9,Delivered,09:55:00
147,15422,19,Delivered,20:22:00
148,11069,22,In Transit,04:39:00
149,11348,18,Delivered,05:48:00
150,14748,23,Delivered,20:39:00
151,16006,2,Delivered,11:21:00
152,16040,11,In Transit,10:08:00
153,13818,31,Delivered,01:28:00
154,18447,33,Delivered,15:11:00
155,15270,14,Delivered,04:48:00
156,16898,16,Delivered,00:54:00
